"symbol";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"ADM5";1.14702405638592;-0.305850664463645;3.75027485520556;0.000176640844740884;0.000333971281345072
"CPT1C";-2.11173544931619;-0.383735371034831;-5.50310346325752;3.73163276599877e-08;1.04557269717447e-07
"FAR2P1";-1.54609709312441;-0.387325836112936;-3.99172208247322;6.55952193985986e-05;0.000130306263604843
"CTF1";-1.68989120317213;-0.522176577530962;-3.23624474150592;0.00121113493667977;0.0020646168772288
"PLCXD3";-2.34770690995933;-0.51388647702392;-4.56853218546565;4.91151656606942e-06;1.10878869008556e-05
"SLC34A2";-2.3422548982032;-0.439250510199405;-5.33238970431677;9.69286435332525e-08;2.60333426860416e-07
"GATA2";0.639575539882067;-0.187865584276644;3.4044316437451;0.000663018922687049;0.00116812458198557
"BNIP3P1";2.39522504505899;-1.02533473230388;2.33604204519342;0.0194890503192813;0.0279203800810374
"ZNF835";-1.78038064831483;-0.56332973631143;-3.16045920098662;0.00157520664097474;0.00264652519831701
"KLF4";-0.506118494633498;-0.155871474507068;-3.24702448754052;0.00116618355576728;0.00199192699872167
"CISD2";0.97006728153908;-0.166665863975709;5.82043172128194;5.86958176210075e-09;1.78373631166555e-08
"UBE2D3";0.452703954115195;-0.121900277160754;3.71372374747106;0.000204231731079636;0.000383699219226294
"KRTCAP2";1.78361066402306;-0.392496332540023;4.54427345213777;5.51250581755114e-06;1.23814169352656e-05
"PTPN3";-1.65779364163521;-0.319743347645571;-5.18476351061678;2.16289138096896e-07;5.60654481089112e-07
"MAP2K2";0.985153850138833;-0.162130256944884;6.07631091631302;1.22978858467801e-09;3.96582093989208e-09
"CREB3L1";-2.52934489102426;-0.637631283707277;-3.96678292871438;7.28492849472716e-05;0.000143838339670881
"MN1";-1.02216153562576;-0.275647255703057;-3.70822315287944;0.00020871868585066;0.000391529188438091
"RPL41";2.24155171087688;-0.233734570749089;9.59015905817012;8.79493235191907e-22;7.10309220347263e-21
"TNR";-2.70344501966915;-0.447422946651651;-6.04225831486905;1.51971895387499e-09;4.8571851569354e-09
"HYDIN";-2.92510593513047;-0.841981463331631;-3.47407402955896;0.000512619581570849;0.000915684185748072
"DLEU1";-0.815610441425843;-0.169331743368173;-4.8166423211771;1.45994045282601e-06;3.48088401936931e-06
"CAMTA1";1.37979865417254;-0.261227847661304;5.28197382677792;1.27799459477714e-07;3.39074639140517e-07
"AIRE";-2.09715541737692;-0.827096954273569;-2.53556177004525;0.0112267127042196;0.0167097287146189
"NMI";1.3195083938754;-0.127827166440127;10.3225975402768;5.56956213659358e-25;5.47837763384387e-24
"POLR2F";2.11596226416847;-0.19889918912622;10.6383654627455;1.97564640784283e-26;2.09895693225101e-25
"PPP1R3G";2.02932170566098;-0.5121633612823;3.96225473954282;7.42452609655218e-05;0.000146426974131133
"C9orf47";-1.33758581240385;-0.526249991812508;-2.54173079945701;0.0110305093587361;0.0164318853453725
"SOD1";1.93450520102688;-0.101633920083407;19.0340508310543;8.90920264267572e-81;7.87801954705936e-79
"DGAT2";0.604187665978139;-0.272751175167997;2.2151606335188;0.0267490408632904;0.0374530013484138
"SARS2";1.10394946435364;-0.171229440599232;6.44719424703064;1.13939719437032e-10;4.02677307286893e-10
"FBXO17";-0.859416082026868;-0.354459675864585;-2.42458068024413;0.0153260774419731;0.0223330983970204
"PTPN2";-0.577195435630281;-0.142868590707525;-4.04004430065312;5.34411060997027e-05;0.000107299137456587
"ZNF404";1.25824001277412;-0.429156284052143;2.93189231879275;0.00336903539548425;0.00539690424789436
"FGD5P1";-2.23079358717602;-0.361138544114258;-6.17711297653744;6.52843586698911e-10;2.15074168235562e-09
"RUFY1";0.562308034249184;-0.212005439340518;2.65232833647263;0.0079938764933365;0.0121657910304149
"PNMAL2";3.11982111489524;-0.610610700319764;5.10934563259612;3.23276492349894e-07;8.24350274710031e-07
"TRIM46";-0.91574459372268;-0.248540618125385;-3.68448666712779;0.000229164020316028;0.000427834040960293
"SCAF4";-1.37481856134032;-0.262333385259961;-5.24073045440989;1.59942201616256e-07;4.19833061724631e-07
"DEGS2";2.13179347680133;-0.440670592226889;4.83761229908377;1.31408143367613e-06;3.14747967229857e-06
"CDKN2C";3.44898762027905;-0.263191106308839;13.1044991171999;3.10304029415732e-39;6.36215502879367e-38
"PPM1J";0.862625094428091;-0.323252997407069;2.66857570184197;0.00761736104867238;0.0116297287552911
"C10orf53";-1.30460497590724;-0.410953823667467;-3.17457802014002;0.00150054544607336;0.00252724214950604
"SMIM12";1.11361648390223;-0.0985149726612139;11.3040328167362;1.25327417088924e-29;1.56709256915468e-28
"C19orf57";1.61220727312399;-0.481858630716541;3.34580968431878;0.000820426860783344;0.00142952913909531
"GPER1";1.97473156118218;-0.530242295706843;3.72420604159793;0.00019593086144552;0.000368824873788767
"SGK1";-0.667477219007419;-0.165772265616748;-4.02647099334802;5.66202204838927e-05;0.000113325880650466
"CLIP3";1.60836164448792;-0.482060200218507;3.33643317527331;0.000848608268950255;0.0014760972845263
"PTPRN2";-0.934677008136282;-0.32913637298731;-2.83978643761843;0.00451437454316138;0.00711159674853275
"DAW1";-2.59145022448002;-0.360579557475366;-7.1869027812456;6.627756715393e-13;2.84002010545531e-12
"C2CD4A";-2.34389626291494;-0.47105655988169;-4.97582766601026;6.49694307838424e-07;1.60267223892102e-06
"NRXN2";1.06640609748617;-0.505865399990561;2.10808269849267;0.0350238367257146;0.0481630127331922
"PIK3R5";-2.01102229944688;-0.190375723848144;-10.563438755726;4.40232925724604e-26;4.61735786999352e-25
